date,bullish,neutral,bearish,spread
10-17-96,39.0%,36.0%,25.0%,0.14
10-24-96,42.0%,33.0%,25.0%,0.17
10-31-96,37.0%,29.0%,34.0%,0.03
11-7-96,26.0%,45.0%,29.0%,-0.03
11-14-96,37.0%,34.0%,29.0%,0.08
11-21-96,43.0%,30.0%,27.0%,0.16
11-27-96,52.0%,27.0%,21.0%,0.31
12-5-96,41.0%,26.0%,33.0%,0.08
12-12-96,40.0%,28.0%,32.0%,0.08
12-19-96,33.0%,28.0%,39.0%,-0.06
12-26-96,37.0%,33.0%,30.0%,0.07
1-2-97,43.0%,33.0%,24.0%,0.19
1-9-97,36.0%,39.0%,25.0%,0.11
1-16-97,42.0%,32.0%,26.0%,0.16
1-23-97,37.0%,41.0%,22.0%,0.15
1-30-97,51.0%,33.0%,16.0%,0.35
2-6-97,47.0%,29.0%,24.0%,0.23
2-13-97,45.0%,37.0%,18.0%,0.27
2-20-97,44.0%,36.0%,20.0%,0.24
2-27-97,63.0%,22.0%,15.0%,0.48
3-6-97,43.0%,37.0%,20.0%,0.23
3-13-97,34.0%,36.0%,30.0%,0.04
3-20-97,36.0%,42.0%,22.0%,0.14
3-27-97,27.0%,40.0%,33.0%,-0.06
4-3-97,29.0%,40.0%,31.0%,-0.02
4-10-97,26.0%,37.0%,37.0%,-0.11
4-17-97,31.0%,41.0%,28.0%,0.03
4-24-97,28.0%,40.0%,32.0%,-0.04
5-1-97,27.0%,44.0%,29.0%,-0.02
5-8-97,30.0%,44.0%,26.0%,0.04
5-15-97,41.0%,36.0%,23.0%,0.18
5-22-97,40.0%,35.0%,25.0%,0.15
5-29-97,40.0%,40.0%,20.0%,0.2
6-5-97,52.0%,33.0%,15.0%,0.37
6-12-97,49.0%,35.0%,16.0%,0.33
6-19-97,59.0%,26.0%,15.0%,0.44
6-26-97,52.0%,25.0%,23.0%,0.29
7-3-97,45.0%,30.0%,25.0%,0.2
7-10-97,49.0%,33.0%,18.0%,0.31
7-17-97,54.0%,30.0%,16.0%,0.38
7-24-97,53.0%,25.0%,22.0%,0.31
7-31-97,48.0%,26.0%,26.0%,0.22
8-7-97,49.0%,28.0%,23.0%,0.26
8-14-97,49.0%,30.0%,21.0%,0.28
8-21-97,47.0%,33.0%,20.0%,0.27
8-28-97,50.0%,28.0%,22.0%,0.28
9-4-97,37.0%,38.0%,25.0%,0.12
9-11-97,42.0%,36.0%,22.0%,0.2
9-18-97,40.0%,44.0%,16.0%,0.24
9-25-97,39.0%,42.0%,19.0%,0.2
10-2-97,38.0%,43.0%,19.0%,0.19
10-9-97,43.0%,43.0%,14.0%,0.29
10-16-97,43.0%,36.0%,21.0%,0.22
10-23-97,40.0%,46.0%,14.0%,0.26
10-30-97,41.0%,36.0%,23.0%,0.18
11-6-97,38.0%,37.0%,25.0%,0.13
11-13-97,45.0%,38.0%,17.0%,0.28
11-20-97,40.0%,38.0%,22.0%,0.18
11-26-97,40.0%,40.0%,20.0%,0.2
12-4-97,49.0%,33.0%,18.0%,0.31
12-11-97,46.0%,37.0%,17.0%,0.29
12-18-97,40.0%,41.0%,19.0%,0.21
12-24-97,41.0%,36.0%,23.0%,0.18
12-31-97,34.0%,35.0%,31.0%,0.03
1-8-98,42.0%,40.0%,18.0%,0.24
1-16-98,38.0%,45.0%,17.0%,0.21
