caldt,prtnam,totret
2004-10-29,1,0.003300
2004-11-30,1,0.031545
2004-12-31,1,0.033996
2005-01-31,1,-0.019846
2005-02-28,1,0.025052
2005-03-31,1,-0.017321
2005-04-29,1,-0.013066
2005-05-31,1,0.020797
2005-06-30,1,0.000816
2005-07-29,1,0.027432
2005-08-31,1,-0.006374
2005-09-30,1,0.008126
2005-10-31,1,-0.011577
2005-11-30,1,0.031175
2005-12-30,1,0.001521
2006-01-31,1,0.018785
2006-02-28,1,0.007215
2006-03-31,1,0.010453
2006-04-28,1,0.018254
2006-05-31,1,-0.018796
2006-06-30,1,0.000882
2006-07-31,1,0.017543
